sampleID,events / ml this is also per g that was put into the tube wet weight,Timepoint,BactWetWeight,LitterWetWeight,LitterDryWeight,Bacterialdryweight,cellspergdryweight,sampleID2,Location,Treatment,hyphae_cm/gdrylitter
5C04,4.78E+08,2,0.21,2.61,0.94,0.075632184,6.32E+09,5C04,Subalpine,Sterile control 4,1648.024699
5D01,3.75E+08,2,0.179,2.436,0.3,0.022044335,1.70E+10,5D01,Subalpine,Desert inoculum 1,639.8273355
5D02,6.32E+08,2,0.2128,1.2457,0.22,0.037582082,1.68E+10,5D02,Subalpine,Desert inoculum 2,738.3625817
5D03,4.42E+08,2,0.2103,1.7086,0.28,0.034463303,1.28E+10,5D03,Subalpine,Desert inoculum 3,519.6249672
5D04,2.94E+08,2,0.2064,2.4822,0.86,0.071510757,4.11E+09,5D04,Subalpine,Desert inoculum 4,1268.480367
5G01,6.70E+08,2,0.187,2.372,0.37,0.029169477,2.30E+10,5G01,Subalpine,Grassland inoculum 1,524.7423355
5G02,6.75E+08,2,0.1994,0.2522,0.08,0.063251388,1.07E+10,5G02,Subalpine,Grassland inoculum 2,1147.588673
5G03,5.37E+08,2,0.2012,2.1267,0.56,0.052979734,1.01E+10,5G03,Subalpine,Grassland inoculum 3,1266.724552
5G04,7.83E+08,2,0.1925,2.1169,1.38,0.125490103,6.24E+09,5G04,Subalpine,Grassland inoculum 4,1064.555639
5L01,6.06E+05,2,0.22,1.36,0.48,0.077647059,7.81E+06,5L01,Subalpine,Litter open 1,390.6506049
5L02,1.11E+06,2,0.23,1.32,0.49,0.085378788,1.30E+07,5L02,Subalpine,Litter open 2,673.1327123
5L03,5.23E+05,2,0.19,1.65,0.57,0.065636364,7.96E+06,5L03,Subalpine,Litter open 3,858.2256805
5L04,1.22E+07,2,0.19,1.48,0.53,0.068040541,1.79E+08,5L04,Subalpine,Litter open 4,400.0602894
5N01,2.01E+07,2,0.2,2.05,0.72,0.070243902,2.86E+08,5N01,Subalpine,Litter closed 1,687.8489545
5N02,4.23E+07,2,0.23,1.05,0.28,0.061333333,6.89E+08,5N02,Subalpine,Litter closed 2,NA
5N03,3.58E+06,2,0.19,1.74,0.67,0.07316092,4.89E+07,5N03,Subalpine,Litter closed 3,217.0401515
5N04,4.60E+07,2,0.19,1.16,0.57,0.093362069,4.93E+08,5N04,Subalpine,Litter closed 4,848.2094921
5P01,4.09E+08,2,0.2181,1.2797,0.18,0.030677503,1.33E+10,5P01,Subalpine,Oak inoculum 1,953.4084966
5P02,1.11E+08,2,0.2161,1.4214,0.15,0.022804981,4.85E+09,5P02,Subalpine,Oak inoculum 2,602.8539898
5P03,3.20E+08,2,0.1758,1.4285,0.26,0.0319972,9.99E+09,5P03,Subalpine,Oak inoculum 3,728.7377436
5P04,4.63E+08,2,0.2279,1.2217,0.49,0.091406237,5.07E+09,5P04,Subalpine,Oak inoculum 4,1401.788999
